Paket::Funktion,Beschreibung
na.omit,"Löscht Zeilen, die fehlende Werte enthalten"
nrow,Liefert die Anzahl der Zeilen des Dataframes zurück
complete.cases,Zeigt die Zeilen ohne fehlenden Werte
car::recode,Kodiert Werte um
replace, Ersetzt Werte
cut,Schneidet eine kontinuierliche Variable in Wertebereiche
rowMeans,Berechnet Zeilen-Mittelwerte
dplyr::rowwise,Gruppiert nach Zeilen
ggplot2::cut_number,Schneidet in n gleich große Bereiche
ggplot2::cut_interval,Schneidet ein Intervalle der Größe k
head,Zeigt nur die ersten Werte eines Objekts an.
scale,z-skaliert eine Variable
dplyr::select_if,"Wählt eine Spalte aus, wenn ein Kriterium erfüllt ist"
dplyr::glimpse,Gibt einen Überblick über einen Dataframe
dplyr::mutate_if,"definiert eine Spalte, wenn eine Kriterium erfüllt ist"
:,Definiert einen Bereich von … bis …
corrr::correlate,"Berechnet Korrelationtabelle, liefert einen Dataframe zurück"
cor,Berechnet Korrelationtabelle
corrr::rplot,Plottet Korrelationsmatrix von correlate
corrr::shave,“Rasiert” redundantes Dreieck in Korrelationsmatrix ab
